Name,Reporting Group/s,RA,DEC,Discovery Mag/Flux,flux,SNR
FRB 20010625A ,PARKES,134.92749999999998,-22.318833333333334,,,7.7
FRB 20010630A ,PARKES,195.97374999999997,-42.58997222222222,,,7.3
FRB 20010630B ,PARKES,197.82833333333332,-43.75083333333333,,,7.3
FRB 20010630C ,PARKES,231.72041666666664,-80.30508333333333,,,7.2
FRB 20010630F ,PARKES,276.92124999999993,-51.46230555555556,,,7.5
FRB 20010702A ,PARKES,281.97249999999997,-46.59488888888889,,,7.9
FRB 20010703A ,PARKES,208.50875,-45.98169444444444,,,7.1
FRB 20010705A ,PARKES,172.47416666666663,-42.41002777777778,,,7.4
FRB 20010706A ,PARKES,264.195,-2.092416666666667,,,7.3
FRB 20010706B ,PARKES,288.32541666666657,-29.45733333333333,,,7.2
FRB 20010818A ,PARKES,149.1870833333333,-14.844361111111112,,,7.7
FRB 20010819A ,PARKES,84.70541666666664,-28.18325,,,7.8
FRB 20190520B,FAST,240.51791666666665,-11.28813888888889,,,
